дата,рік,місяць,країна,місто,система_DRS,рівень_збору_%,рік_запуску_системи,бренд,матеріал,кількість_пляшок,депозит_EUR,метод_виплати
2021-01-01,2021,1,Естонія,Нарва,Eesti Pandipakend,93,2005,Aura,PET,18,2.15,Ваучер
2021-01-01,2021,1,Хорватія,Рієка,HAOP,90,2006,Jamnica,PET,19,1.99,Благодійність
2021-01-01,2021,1,Данія,Копенгаген,Dansk Retursystem,89,2002,Royal Unibrew,PET,7,1.2,Готівка
2021-01-01,2021,1,Нідерланди,Роттердам,Statiegeld Nederland,95,2023,Grolsch,PET,7,1.02,Ваучер
2021-01-02,2021,1,Норвегія,Тронгейм,Infinitum,97,1999,Coca-Cola Norway,PET,18,3.38,Благодійність
2021-01-02,2021,1,Естонія,Таллінн,Eesti Pandipakend,93,2005,A. Le Coq,PET,18,3.35,Благодійність
2021-01-02,2021,1,Хорватія,Рієка,HAOP,90,2006,Jamnica,PET,11,2.51,Готівка
2021-01-02,2021,1,Фінляндія,Тампере,Palpa,94,1996,Fazer,PET,14,3.15,Благодійність
2021-01-02,2021,1,Швеція,Стокгольм,Returpack,88,1984,Pepsi Sweden,PET,2,0.46,Благодійність
2021-01-02,2021,1,Латвія,Рига,Latvijas Zalais Punkts,91,2011,Mangaļi,ALU,21,4.31,Благодійність
2021-01-02,2021,1,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Heineken,PET,12,2.3,Ваучер
2021-01-02,2021,1,Нідерланди,Роттердам,Statiegeld Nederland,95,2023,Grolsch,PET,21,4.63,Ваучер
2021-01-03,2021,1,Фінляндія,Турку,Palpa,94,1996,Pirkka,ALU,9,1.31,Благодійність
2021-01-03,2021,1,Данія,Ольборг,Dansk Retursystem,89,2002,Royal Unibrew,PET,1,0.12,Ваучер
2021-01-03,2021,1,Латвія,Юрмала,Latvijas Zalais Punkts,91,2011,Riga Breweries,ALU,18,1.8,Додаток
2021-01-03,2021,1,Нідерланди,Утрехт,Statiegeld Nederland,95,2023,Grolsch,PET,2,0.34,Благодійність
2021-01-04,2021,1,Литва,Клайпеда,USAD,92,2016,Švyturys,PET,20,3.68,Благодійність
2021-01-04,2021,1,Хорватія,Рієка,HAOP,90,2006,Jana,PET,19,2.8,Додаток
